stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,32.69,0,0,0,0,0
72hpf,1.07,0,1.07,4.28,1.07,0,0,0,0,0,0,2.14,5.35,5.35,0,0,2.14,0,0
21Day,1.34,0,6.69,0,0,0,0,1.34,0,6.69,1.34,1.34,5.35,5.35,1.34,1.34,0,0,0
3Month,0,0.32,2.56,0,0,1.92,0.32,0,1.92,0.64,0,0,0,0,0.64,5.76,0.32,0.32,5.12
22Month,0,0.55,2.19,0,0,0.55,0,0,3.28,0,0,1.09,0.55,0.55,0,1.64,6.56,0,0
