stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,1.07,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0
3Month,0,0,0,0,0,0,0,0,0,0.32,0.64,0.64,0,0,0,0,0,0.32,0,0.32
22Month,0,1.64,0.55,2.73,0,0.55,0.55,2.19,0.55,155.8,0,6.01,0.55,0.55,8.75,0,0,1.09,0,0
