stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,6.42,3.21,0,0,0,0,0,0,0,0,0,0,1.07,13.91,1.07,1.07,0,0,1.07,0,5.35,0,0,0,4.28,0,0,0,0,0,0,0,0
21Day,0,418.96,1.34,4.02,0,1.34,0,1.34,0,2.68,0,1.34,2.68,4.02,345.34,5.35,13.39,0,0,0,0,21.42,10.71,0,0,5.35,16.06,0,4.02,1.34,2.68,0,0,1.34
3Month,0,33.91,0,0,0.32,0,0.96,1.28,0,4.48,2.56,0,4.48,0.96,140.14,3.52,2.24,0.64,0,0,1.6,0,0,0.64,0.32,0.32,0.32,5.44,0.32,0,0,0.32,3.2,2.56
22Month,1.09,7.11,0,0,0.55,0.55,1.64,3.83,1.09,32.25,1.64,0,4.37,0.55,35.53,4.37,0.55,0,1.64,0,0,0,0,0,0.55,0.55,0,1.64,0,0,0,0,0,0
