stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,4.28,0,0,0,0,0,0,0,0,0,1.07,7.49,0,1.07,0,0,0,5.35,4.28,0,0,0,0,1.07,1.07,0,0,0,0
21Day,12.05,0,1.34,9.37,4.02,2.68,0,0,0,0,5.35,0,2.68,0,0,6.69,1.34,2.68,0,0,0,12.05,8.03,1.34,4.02,1.34,0,2.68,8.03,33.46,1.34,0,2.68
3Month,0,0,0.64,3.2,0.32,0,0.32,1.92,0,0,6.72,0.32,0.32,1.6,0.64,1.28,0.96,0.32,0.32,0,0.64,0.32,0,0,0,0,0.32,0.32,0,0,0,0.64,0.64
22Month,0,1.09,0,1.64,0,0,0,0.55,3.28,0.55,10.39,0,0,7.11,0,1.09,1.09,0.55,0,0.55,0,0,0,0,0,0,2.73,0.55,1.09,0,0,0,1.09
