stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,0,53.12,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,1.07,13.91,29.95,0,9.63,0
21Day,0,0,0,0,0,0,0,5.35,6.69,2.68,1.34,1.34
3Month,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0
22Month,0,0,0,4.37,0,0.55,0,0,0,0,0,0
