stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34
3Month,0,0,0.32,0,0,0.32,0,0,0.96,0,0.64,6.4,4.8
22Month,0.55,0,2.73,1.09,0,0,0,0.55,0,0,0,0,1.09
