stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,5.35,0,0,1.07,0,31.02,7.49,0,2.14,0,0,2.14,0,0,7.49,0,0
21Day,0,0,0,5.35,1.34,2.68,0,0,0,0,0,1.34,0,1.34,0,0,6.69,0,36.14,0,0,1.34,0,21.42,2.68,0,5.35,2.68,0,4.02,1.34,1.34,4.02,0,0
3Month,0,0.64,0.32,4.16,0,0,0.64,0.32,0.32,2.24,0,237.4,0.64,0.32,6.08,1.6,2.88,0.64,7.68,0.64,0.32,1.28,0.32,0.64,0,1.28,0,3.2,1.28,0,0,0,0.32,1.28,1.6
22Month,0,1.09,0,0.55,0,0,0,0,0.55,0,3.83,126.28,0,0,3.28,0,0,0.55,4.37,0,8.75,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0.55
