stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,568.01,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,25.67,1.07,0,16.05,4.28,19.26,0,0,0,0,0,0,2.14,29.95,2.14,31.02,1.07,1.07,1.07,3214.72,492.1,6.42,1.07,34.23,1.07,0,83.44,0,1.07,4.28,0,0,0
21Day,9.37,1.34,1.34,20.08,0,32.12,5.35,1.34,1.34,1.34,2.68,2.68,2.68,12.05,9.37,28.11,0,4.02,0,1030.67,180.7,0,2.68,10.71,32.12,0,49.53,6.69,8.03,4.02,0,0,6.69
3Month,0.32,0,0,0,0,0,0,0,0,1.92,0,0,0,0.32,0.32,0.64,0,0,0,0.96,0,0.32,0.32,0,0,0.32,0,0,0,0,0.32,0.32,0
22Month,0,0,0,0.55,0,0,0,0,0,3.28,0,0,0,0,1.09,0,0.55,0,0,0.55,0.55,0.55,0,0,0,2.73,1.09,0,0,0,0,0,0
