stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,12.26,0,0,0,0,0,0,0,0,147.11,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,3.21,64.19,0,0,0,0
21Day,0,0,1.34,0,0,0,0,2.68,0,2.68,54.88,2.68,1.34,2.68,0
3Month,0,0.32,0.32,0.32,0.32,0.32,0.32,0,0.32,0,0.32,0,0,0,0.32
22Month,0,0,0,1.64,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0
