stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,9.37,1.34,0,1.34,0,0,1.34,0,2.68,5.35,1.34,9.37,2.68,2.68,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.64,14.08,0,0,8,1.6,0,10.56,2.88,0.32,31.67,0.96,1.92,5.12,2.56,0.32,0,6.4,1.28,0,0,1.28,0.32,0,1.28,0.96,0.64,0.64,4.8
22Month,0.55,3.28,3.83,16.95,0,1.64,13.12,3.28,3.83,83.09,3.83,0.55,86.37,0,1.64,3.28,4.92,0,1.64,7.65,0,0.55,0,1.09,0,0,0.55,2.73,0.55,0,4.92
