stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,3.21,1.07,2.14,0,0,0,0,0,7.49,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,20.08,0,6.69,0,4.02,0,0,0,0,9.37,0,0,10.71,5.35,2.68,0,0,0,0,2.68,9.37,0,0,4.02,0,0,2.68,0,0,0
3Month,0.64,0.64,12.8,0,0,0.32,0.32,0.96,7.36,52.15,5.12,1.28,7.36,2.24,4.8,9.28,2.88,0,0,1.28,3.52,0.32,0,0.32,0.64,0,0.32,16.96,0,1.92,1.28,8.96
22Month,2.19,0.55,7.11,0,0,0.55,1.64,0.55,12.57,67.24,1.64,1.64,10.93,1.09,0.55,5.47,5.47,0.55,1.09,0.55,0.55,0.55,1.09,0,1.09,0,0,3.28,0.55,1.09,0,4.37
