stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,2.14,7.49,0,1.07,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,33.46,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0,0.64,2.88,0.32,0.64,1.28,0.64,0.96,0,0,0,0,0.32,0,0,0.64,0,0.32,10.24,0.32,31.04,0.32
