stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,8.17,0,0,0,0,4.09,98.07,0,0,4.09,0,0,0,0,0,0
72hpf,100.56,7.49,0,101.63,13.91,73.82,2.14,0,2.14,0,0,2.14,1.07,19.26,83.44,10.7,115.54,0,7.49,3.21,0,518.85,262.1,2.14,1.07,13592.77,3.21,0,46,2.14,3.21,0
21Day,9.37,1.34,2.68,30.79,2.68,22.76,1.34,1.34,1.34,4.02,1.34,5.35,10.71,0,24.09,8.03,41.49,0,1.34,24.09,0,41.49,17.4,1.34,2.68,3310.19,26.77,1.34,2.68,0,0,4.02
3Month,0,0,0,1.28,0,0,0,0,0.32,0.96,0,0,0.32,0.32,0.32,0.64,3.84,4.16,0,0,0.32,0,0,0,0,27.52,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
