stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,8.03,0,0,0,0,0,0,0,2.68,0,1.34,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,3.84,62.71,0,0.32,16,4.16,0,5.76,5.76,5.76,38.07,3.84,12.16,19.84,3.84,0.32,0,0,0.96,0.64,0,0.96,0.32,1.28,6.08,0,1.92,3.84,40.95
22Month,0,5.47,4.37,26.79,1.09,0.55,16.4,4.92,1.64,18.04,7.65,8.2,55.21,1.64,2.19,26.79,4.92,0.55,1.09,0.55,0.55,0,0,1.09,0,0.55,3.83,0,2.73,0,39.91
