stage,Endothelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell
72hpf,0,1.07,2.14,1.07,2.14
21Day,0,2.68,1.34,1.34,0
3Month,0.32,1.92,0,0,0
