stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,9.63,0,0,0,1.07,0,23.54,0,0,1.07,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,20.08,1.34,1.34,0,0,0,21.42,4.02,0,2.68,0,0
3Month,1.6,3.2,5.44,0.32,0,0.32,0,1.6,0.32,8.64,3.84,0.32,0.96,0,2.24,1.6,209.57,24,10.24,0.64,0.32,0.32,3.2,0.32,0.32,0.96,0.64,0.64
22Month,0,0.55,2.19,0,0,0,0.55,0,0.55,0,7.11,0,0.55,0,0.55,0,15.85,0,1.09,0,0.55,0,0,0.55,0,0,0,0.55
