stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,16.35,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,32.69,0,0,4.09,44.95,2860.48,0,0,0,4.09,0,0,0,0,0,4.09,0
72hpf,27.81,8.56,0,12.84,2.14,21.4,1.07,0,0,0,1.07,0,0,0,8.56,35.3,4.28,29.95,1.07,0,0,2649.87,1106.16,1.07,43.86,0,50.28,0,1.07,246.05,0,1.07,4.28,0
21Day,6.69,0,2.68,20.08,0,21.42,2.68,0,2.68,0,0,1.34,4.02,1.34,5.35,10.71,8.03,24.09,0,2.68,0,667.93,372.11,0,14.72,0,8.03,24.09,0,84.33,6.69,6.69,0,2.68
3Month,0,0,0,1.28,0,0,0,0.64,0.32,0,4.48,0.64,0,0.96,0.32,0,0.32,0.96,0,0.32,1.28,0.96,0.96,0.32,1.28,0,0,0.64,0.32,0.64,0,0,0,0.64
22Month,0,0.55,0.55,3.28,0,0,0,0.55,2.19,0.55,27.88,2.73,0,3.28,0,1.09,2.19,1.09,0,0.55,0.55,0.55,1.64,0,7.11,0.55,0,0,0.55,0.55,0,0,0,0.55
