stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,8.17,232.93,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,0,2.14,1.07,2.14,0,0,0,0,0,0,0,0,2.14,9.63,0,3.21,0,315.59,142.28,0,3.21,3.21,0,0,7.49,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,0,2.68,1.34,0,0,1.34,1.34,0,2.68,0,1.34,10.71,1.34,8.03,0,148.58,61.57,0,1.34,5.35,2.68,0,5.35,0,2.68,0,0,0,1.34
3Month,0,0.32,6.4,0,0,0,0.32,0.96,0.64,7.04,0.96,0,3.2,0,0,0.64,3.2,0.64,0.96,0,0.32,3.2,0,0.32,8.64,0.64,0,0,0,0.32,315.15,0.32
22Month,0,0,0,0,0,0,0,0,0.55,8.2,0,0.55,0,0,0,0,1.64,0,0,0.55,0,1.64,0,0,0.55,3.83,0,0,0,0,0,0.55
