stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,1.07,0,1.07,0,2.14,4.28,8.56,1.07,0,33.16,34.23,0,5.35,2.14,0,2.14,2.14,1.07
21Day,4.02,0,6.69,0,1.34,0,0,4.02,0,0,14.72,0,0,12.05,1.34,0,2.68,0,1.34,1.34,0,1.34
3Month,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0,2.73,0,0.55,0.55,0,4.37,0,0.55,0,0,0.55,0,0,0,0.55,0,0
