stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,8.17,20.43,0,0,0,0,0,0,0,0,4.09,0,8.17,36.78,0,0,8.17,44.95,0,0,0,4.09,0,0,0,0,0
72hpf,2.14,2.14,3.21,0,0,0,0,0,0,0,0,1.07,8.56,1.07,12.84,1.07,0,5.35,9.63,0,1.07,0,11.77,0,4.28,1.07,0,0
21Day,1.34,0,5.35,2.68,0,1.34,0,0,0,2.68,0,0,16.06,0,4.02,12.05,0,1.34,4.02,0,0,0,2.68,1.34,0,0,0,2.68
3Month,0.32,0.32,1.92,0,0.32,0,0.64,0,4.16,2.56,0,0,2.56,0.96,0.32,0.96,1.28,0.32,0,0,0,0,0.32,0,0,0,3.2,1.92
22Month,0,1.09,2.19,0,0,0,0.55,1.64,6.56,0.55,1.09,0,0,1.09,1.64,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0
