stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,3.21,1.07,0,0,0,0,0,0,0,1.07,5.35,0,0,0,0,1.07,89.86,9.63,0,1.07,3.21,0,0,1.07,2.14,0,0,0,0,0
21Day,1.34,0,20.08,0,1.34,0,0,2.68,1.34,0,2.68,1.34,1.34,2.68,1.34,2.68,0,0,0,17.4,0,1.34,0,5.35,2.68,0,0,0,1.34,1.34,0,0,1.34
3Month,0,0,6.72,0,0,0.32,1.6,0,13.44,0.32,0.32,0,0.96,0.64,0.96,1.6,0.64,0,0.64,0.64,0,0.32,0.32,0,0,0.64,0,0,0,0,0.32,0.64,0
22Month,0,0.55,4.92,0,0,0,0.55,0,31.16,0,0,2.73,0,0,0.55,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
