stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,2.14,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0.32
22Month,0.55,0,0.55,0,0,0,0,0,0,0
