stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,48.14,2.14,0,1.07,0,5.35,2.14,0
21Day,0,1.34,0,0,0,0,0,1.34,0,5.35,1.34,0,0,0,5.35,4.02,0
3Month,0.32,0,0.32,3.52,0.32,0.32,0,0.32,0,0,0,0.32,0,0.32,0.32,0,3.52
22Month,1.09,0,0,4.92,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0
