stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,8,6.72,0,0.64,2.24,0.32,0.32,8.32,1.28,0.32,49.27,0.64,1.28,2.56,2.24,0.32,0,3.52,0.32,0.64,0,0,0.64,0.32,1.92,108.78,0,0.32,79.35,0.96
22Month,0.55,6.01,3.28,0,0,1.09,0,0.55,8.2,1.64,0,37.72,0,0,1.09,2.19,0,1.09,0.55,0,0,0,0.55,0,0,0,28.97,0,0,0.55,0
