stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,6.42,14.98,0,0
21Day,2.68,2.68,1.34,4.02,1.34,1.34,1.34,2.68,0,1.34,1.34,4.02,5.35,0,0,12.05,1.34,1.34,4.02,1.34,0,0,93.7,459.12,1.34,2.68
3Month,0,1.6,0.32,0,0,0,0,0,0,0,0,0,0.64,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0,0,2.19,0,0,0.55,0,0,0,3.83,0,0,0,0,0,0,0,0.55,0.55,0.55,0,0,0
