stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,8.56,2.14,0,0,0
21Day,2.68,0,1.34,0,0,0,0,1.34,1.34,0,0,17.4,0,0,0,0
3Month,0,10.24,0,0,0.96,1.6,0.32,0,0.32,2.24,0.32,0,0,1.28,0.32,0.32
22Month,0,0,0,0,0.55,1.64,0,0,0,0.55,0,0,0,0,0,0
