stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0
3Month,0.64,0.32,0.32,5.44,0,0.64,0,0,0.64,0.64,0,0,0.32,4.8,9.92,0.32
22Month,0,0.55,0,8.2,0.55,1.09,0.55,0.55,0,0,0.55,0,0,1.09,0.55,0
