stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,1.07,0,0,53.49,2.14,0,0,0,0,0,0,0,0
21Day,0,0,18.74,0,1.34,0,0,0,0,0,0,1.34,0,0,8.03,1.34,1.34,0,0,44.17,0,1.34,0,1.34,1.34,2.68,0,0,0
3Month,0.32,0,18.56,0,0,0.32,0.32,13.44,0,4.16,0.64,0,0.64,0.32,4.8,0.64,0.96,0,0,0.32,0,0,0,0.32,1.28,0,0.32,0.64,0.96
22Month,0.55,2.73,5.47,0.55,0,1.09,0,16.95,0.55,79.81,1.64,2.73,4.92,0.55,0.55,2.19,4.37,2.19,0.55,0.55,0,0.55,0.55,1.09,0,0,0,0,1.64
