stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,322.01,25.67,0,4.28,1.07,0,0,2.14,1.07,1.07,0,0,0,0
21Day,0,1.34,4.02,0,9.37,0,1.34,0,0,0,0,0,1.34,1.34,0,5.35,0,0,182.04,9.37,4.02,5.35,2.68,2.68,2.68,5.35,2.68,0,0,0,0,0
3Month,0,0,2.88,0,0,0.64,0.96,0.32,0,6.08,0.96,0.32,2.24,0.96,0,1.6,0.64,0,5.12,0,5.44,0.64,0.32,0.96,14.72,1.6,0,0,0.32,1.6,9.92,0.32
22Month,1.09,1.09,2.19,0,0,0,0.55,0.55,0.55,36.08,0,0,6.01,0,0.55,2.19,0,0,1.64,0,3.83,1.09,0,0,3.83,1.09,0.55,0,0,0,0.55,1.09
