stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,2.68,0,0,0,0
3Month,0.32,0,0,1.92,0.32,3.2,0.32,0.64,0.32,0.64,0.96,0.32,0,0.32,0.64,0,0,0.32,0.96,34.87,0,0.96,5.44,1.6
22Month,0,0.55,0.55,1.09,0.55,7.65,1.09,0,0,0,0,0,1.09,0,0,0,2.19,0,0,37.17,0,0,0,0
