stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,73.56,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,16.05,0,0,0,0,0,0,0,0,0,3.21,115.54,0,2.14,0,0,0,0,4.28,3.21,1.07,0,3.21,0,0,3.21,0,0,0
21Day,2.68,0,78.97,0,1.34,0,0,0,0,0,4.02,0,6.69,37.48,0,2.68,0,0,1.34,0,0,4.02,0,0,1.34,0,1.34,0,0,0,1.34
3Month,0,0.64,120.94,0.32,0.64,1.6,0,0,9.28,1.6,0.32,2.56,5.76,7.68,2.88,3.84,0.64,0.96,0.96,0.64,0,0,0,0.96,0,2.24,107.82,0,0.64,232.6,3.2
22Month,0,0.55,3.83,0,0,0,0.55,0,2.73,0,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0.55,0,0,12.03,0,0,0.55,0
