stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,12.84,0,0,0,2.14,2.14,1.07,0,0,1.07,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,16.06,0,0,1.34,1.34,0,0,0,0,0,0,1.34
3Month,0,0.32,13.44,0,1.92,0,6.4,0.32,1.28,32.63,13.44,0.96,0.96,0.32,1.28,0,0,0.32,3.52,0,3.2,0.32
22Month,1.09,0,2.73,0,0,1.09,14.76,0.55,1.64,4.37,7.65,0,1.64,0.55,0,0,0,0,0,0,0,0
