stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,16.35,20.43,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,2.14,0,0,0,0,0,0,0,0,0,3.21,0,7.49,0,1.07,0,66.33,38.51,0,1.07,0,3.21,0,1.07,10.7,22.47,7.49,8.56,0,0
21Day,1.34,0,4.02,0,2.68,0,0,0,0,0,1.34,0,1.34,5.35,12.05,2.68,0,0,0,22.76,9.37,0,1.34,0,1.34,2.68,4.02,0,69.6,13.39,0,0,0
3Month,0,3.2,2.88,0.32,0,0.96,0.32,0,6.72,0.32,0,1.6,0.32,1.6,0.96,2.56,0.96,0,0.96,1.6,0.32,0.32,0,0,0,0.32,49.59,0,1.6,0.64,0.32,1.28,0.64
22Month,0,1.64,5.47,0,0,0,1.64,10.93,33.35,1.09,0.55,3.28,0.55,1.09,1.09,2.19,0,0,0.55,0.55,0.55,0,0,1.64,0,0,41.55,1.09,103.32,0,0,0,0
