stage,Cardiomyocyte,Endothelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,35.3,2.14,0,0,2.14,1.07,0
21Day,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,9.37,0,1.34,1.34,0,0,0
3Month,0,0.96,0.32,0.32,0,0,0.96,0.32,0,0.64,0.32,0.32,0,0,0,0,0,0,0,1.28
22Month,0,0,0.55,0,0.55,0,7.11,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0
