stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,12.26,0,0,0,0,0,0,0,0,4.09,4.09,32.69,4.09,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,2.14,0,1.07,5.35,1.07,0,0,0,0,4.28,0,0
21Day,0,22.76,0,0,0,0,0,0,0,1.34,1.34,0,1.34,1.34,0,17.4,58.9,1.34,0
3Month,0,0.64,0.32,0,0.32,0.64,0.32,0,0.64,0.32,0,0,0.32,0,0.96,0,0,0,0.32
22Month,0,0,0,0.55,4.37,0,0.55,0,1.09,0,0,0,0,0,2.19,0.55,0,0,0
