stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,2.14,5.35,1.07,7.49,0,0,0,0,0,0,0,1.07,13.91,1.07,4.28,0,1.07,908.25,38.51,0,1.07,12.84,0,0,3.21,1.07,0,0
21Day,1.34,0,13.39,0,10.71,0,0,0,1.34,0,1.34,0,0,5.35,2.68,16.06,0,2.68,306.52,21.42,1.34,5.35,4.02,5.35,0,1.34,0,0,2.68
3Month,0,0.32,3.84,0,0,0.32,1.28,0,2.56,0.64,0,0,0.96,0.96,0.64,0,0.64,0,1.92,0,0.32,0.96,0,0.64,0.96,0,0,0.32,0
22Month,0,1.09,1.09,0,0,0,2.19,1.64,11.48,0,0,1.09,0,0,1.64,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0.55
