stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,16.35,0,36.78,0,0,0,0,0,0,0,4.09,4.09,8.17,28.6,0,0,24.52,2917.69,0,0,0,0,12.26,0,0,0,0
72hpf,59.91,11.77,40.65,12.84,75.96,1.07,0,0,0,0,9.63,85.58,11.77,100.56,1.07,4.28,626.9,3796.69,3.21,16.05,112.33,3.21,3447.94,2.14,0,6.42,0
21Day,16.06,0,52.2,5.35,18.74,1.34,1.34,1.34,2.68,1.34,1.34,6.69,2.68,18.74,1.34,5.35,41.49,683.99,0,4.02,0,18.74,447.07,2.68,4.02,2.68,1.34
3Month,0,0,0.96,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.32,2.24,0,0,0,0
