stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,24.61,0,1.07,0,0,0,0,0,0,0,0,0,0,7.49,0,7.49,0,6.42,5.35,2.14,0,3.21,0,0,0,0,0,0,0,0
21Day,58.9,0,1.34,1.34,0,0,0,0,0,0,0,0,0,6.69,0,22.76,0,0,0,0,0,4.02,1.34,0,0,1.34,0,0,0,0
3Month,6.4,0.32,2.56,0,1.28,0.64,0.32,9.92,1.28,1.28,0.64,0.96,2.56,4.16,0,73.27,0.32,0,0,0.64,0,0,0.32,2.88,0.64,0,0.64,0.32,0.32,1.28
22Month,1.64,1.64,2.19,0,0.55,2.19,3.28,21.87,1.09,3.83,0,0.55,1.09,9.84,0.55,37.72,0,0.55,0.55,3.83,1.09,0,0.55,0.55,0,0,0,0,0,0.55
