stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,4.09,4.09,16.35,0,0,0
72hpf,0,0,0,0,8.56,0,0,1.07,0
21Day,0,0,0,1.34,2.68,0,1.34,0,1.34
22Month,0,1.09,0.55,0,0,0,0,0,0
