stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,16.35,0,0,0,4.09,0,0,0,0,0,28.6,4.09,28.6,0,0,0,89.9,0,0,16.35,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,3.21,2.14,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0
22Month,0.55,6.01,2.19,16.95,1.09,19.13,9.29,0,61.77,7.11,0.55,3.83,0.55,1.64,4.92,10.39,2.19,0.55,1.64,0,1.09,1402.17,0,1.09,0.55,2.73,0.55,0.55,4.37
