stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,5.35,0,3.21,0,0,0,0,0,0,0,0
21Day,0,0,10.71,2.68,5.35,0,1.34,0,1.34,6.69,0,1.34,4.02,2.68,1.34,0,0,1.34,6.69,0,0,0,4.02
3Month,0.32,0,4.16,0,0,0.96,1.92,2.56,1.28,0.32,1.6,0.32,2.24,0.64,2.88,0.64,0,0.64,0.96,0.64,0,0,1.92
22Month,7.65,0.55,5.47,0,0,0,2.19,7.65,1.09,0.55,4.92,0,0.55,2.19,5.47,0.55,1.64,0.55,0,1.09,0.55,0.55,1.09
