stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,1.07,36.37,0,2.14,0,4.28,1.07,138,0,3.21,0,0,0,0
21Day,1.34,0,1.34,0,2.68,0,0,0,0,0,0,0,0,73.62,0,20.08,0,1.34,2.68,53.54,6.69,2.68,1.34,0,0,0
3Month,0,0.64,0,3.2,0,0,2.24,0.96,1.28,0.64,0.64,1.28,0.96,35.51,2.56,0.64,0.32,0,0,3.2,0.32,0,0,8.64,0.32,0.64
22Month,0,0,0,2.19,0,0.55,0.55,0,3.83,0,0.55,0,0,6.01,0.55,0,0,0,0,1.64,0,0.55,0,0,0,1.09
