stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,4.09,0
21Day,8.03,1.34,8.03,1.34,0,1.34
