stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,8.17,20.43,0,0,0,24.52,151.2,4.09,0,0,0,0,0,0
72hpf,4.28,2.14,5.35,0,2.14,0,0,0,0,1.07,0,6.42,13.91,0,14.98,0,3.21,1.07,64.19,49.21,11.77,2.14,0,3.21,0,0,0
21Day,2.68,0,24.09,1.34,2.68,6.69,0,0,1.34,4.02,1.34,0,10.71,4.02,16.06,0,0,0,18.74,9.37,4.02,0,0,0,1.34,0,0
3Month,0,0,1.92,0,0,0,0.32,0.96,1.28,0,0.32,0,0,0.32,0.96,0.32,0,0,0,0,0,0,0.96,0,0,0.32,0.64
22Month,0,0,0,0,0,0,0.55,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
