stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,9.63,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,8.03,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.32,1.92,1.92,0,0.64,0.64,0,9.28,1.6,0,2.56,0.32,1.28,0.32,1.28,0,1.28,0.32,0.32,0,0.32,0.32,0.96,6.72,0,0,0,0.32,20.16,1.92
22Month,0.55,0,2.73,1.09,0.55,0,5.47,1.64,45.92,3.83,0.55,3.83,0.55,0.55,3.28,2.73,0.55,1.09,0,0.55,0.55,0,0.55,0.55,6.01,0.55,0,0.55,0,0,0.55
