stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,2.14,0,6.42,0,3.21,0,0,0,0,0,0,0,0,0,7.49,3.21,7.49,0,0,0,0,682.53,14.98,0,4.28,11.77,0,0,5.35,1.07,0,0,0
21Day,2.68,0,0,14.72,1.34,5.35,0,1.34,0,1.34,1.34,0,5.35,2.68,0,2.68,1.34,16.06,0,0,4.02,0,299.83,5.35,0,8.03,5.35,4.02,0,0,1.34,0,0,0
3Month,0.64,0.32,0.64,8,0,0,0,0,0.32,0.96,11.84,4.16,0.32,3.2,0.32,2.88,1.6,8.32,4.16,0,0.64,1.6,2.56,0.32,0.32,0.64,0.32,0.32,6.72,0.32,0,0.64,6.4,2.56
22Month,1.09,1.64,0,2.19,0,0,0.55,0.55,0,4.92,61.23,2.73,0.55,6.01,0.55,1.09,1.64,8.75,0,3.83,1.09,0,8.2,0,1.64,1.09,0,0,3.28,1.09,0,1.09,0,1.64
