stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0
3Month,0,0,0.32,0,0.96,0.64,0,0,0
22Month,0,0.55,1.09,0.55,0,18.04,0.55,0,0.55
