stage,Endothelial_cell,Erythroid_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,8.17,40.86,0,0
72hpf,1.07,0,0,0,1.07,0,19.26,2.14,1.07,6.42
21Day,0,1.34,1.34,2.68,4.02,0,10.71,1.34,4.02,1.34
22Month,0.55,0,0,0,0,0.55,0,0,0,0
