stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,114.42,0,0,12.26,220.67,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,7.49,6.42,3.21,19.26,2.14,0,0,0,0,0,1.07,0,0,4.28,0,97.35,1.07,2.14,358.38,41.72,1.07,1.07,59.91,0,0,2.14,0,0,0,0,0
21Day,4.02,4.02,17.4,0,14.72,9.37,0,0,0,0,0,10.71,1.34,1.34,12.05,4.02,82.99,0,18.74,182.04,26.77,0,0,34.8,10.71,0,1.34,1.34,2.68,1.34,0,0
3Month,0,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0,3.83,1.64,0,0,1.09,0,1.09,1.64,29.52,0.55,3.28,3.28,0,0.55,0.55,2.73,1.09,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55
