stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,0,0,0,0,2.14,1.07,3.21,0,0,0,1.07,0,0
21Day,0,6.69,1.34,0,0,2.68,0,4.02,0,0,1.34,1.34,0,0,1.34,0
3Month,0,0.64,0,0.32,0,0,0.32,0,0,0,0,0,1.6,0,0,2.88
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0
