stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,4.28,0,0,0,0
21Day,1.34,1.34,4.02,0,0,0,0,2.68,0,0
3Month,0,0,1.28,0.32,0,0,0.32,0,0.32,0.32
22Month,0,0,0,0,1.64,0,0,0,0,0
