stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell
72hpf,0,0,2.14,0,0,0,1.07,1.07
21Day,0,0,1.34,1.34,0,0,0,0
3Month,0.32,0.64,0.32,0,0.96,0,0.32,0
22Month,0,0,0,0,3.83,2.19,0,0
