stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,4.09,4.09,0,0,44.95,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,3.21,7.49,0,12.84,0,0
21Day,0,1.34,0,1.34,0,1.34,1.34,0,1.34,0,0,0,0,0
3Month,0,0.64,0.64,0,0,0,0,0.32,0,0,1.92,0,0.32,1.6
22Month,1.09,3.83,7.65,0,0.55,0,2.19,0,0,0,14.76,0,0,0
