stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,269.7,0,0,0,0,0,0,0,0,0
72hpf,13.91,1.07,0,0,3.21,0,0,0,0,0,0,0,0,3.21,1.07,0,7.49,0,0,0,207.54,24.61,1.07,5.35,0,0,6.42,1.07,0,0,0
21Day,28.11,0,0,9.37,8.03,2.68,0,0,0,0,0,2.68,0,6.69,2.68,0,9.37,0,0,4.02,124.48,16.06,0,2.68,5.35,0,4.02,1.34,0,0,0
3Month,0.32,0,0.64,2.56,0,0.32,0.32,0,0,7.04,0.32,0.32,1.28,0.96,0.32,0.32,1.28,0.32,0,0.32,0,0,0,0,0,1.92,0,0.32,0.64,0.32,0.32
22Month,1.09,0.55,1.09,6.01,0,0.55,1.09,2.19,1.64,28.43,2.19,0.55,4.92,2.73,0,0.55,4.37,0.55,1.64,0,2.73,0.55,0,0,0,3.28,0,0,0,0,0.55
