stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0
72hpf,0,1.07,1.07,0,0,1.07,0,0,0,10.7,1.07,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,1.34,0,0
3Month,0.32,0.64,0,0.64,0.64,0,0,0.32,0.32,0,0,0,0.32,1.6,0,0,5.76
