stage,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07
22Month,0.55,5.47,0.55,1.64,0.55,0.55,0,0
