stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0
3Month,2.24,0,0.32,0.32,0,3.2,0,0.32,0.64,0.32,0.64,0,0.96,0,4.48,0.32,0.32
22Month,0,0.55,0,1.09,2.19,7.65,1.64,0,0,3.28,0,1.64,0,0,5.47,0.55,0
