stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,5.35,0,1.07,0,89.86,4.28,1.07,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,0,4.02,1.34,4.02,0,0,0,0,0,0,0,0,1.34,1.34,1.34,20.08,0,1.34,0,69.6,0,1.34,12.05,2.68,0,0,0,0,0,0
3Month,0,0.96,0.64,11.2,0,0,0.32,0.32,1.28,2.24,0.32,7.36,2.56,2.88,0.64,0.96,1.6,14.08,2.24,0.96,0.64,2.56,0.32,4.16,2.88,0.96,115.82,0,0.32,1.92,88.63,0
22Month,0.55,0,0,1.64,0,0,0.55,0,0.55,0.55,0,24.6,0,3.83,0.55,0,1.09,9.29,0.55,0.55,0,0.55,0,0.55,1.09,1.09,31.71,0.55,0,0,0.55,0.55
