stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,1.07
21Day,0,0,0,0,1.34,0,0
3Month,0.32,0.32,0.96,0.64,0,0.32,0
