stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,12.26,4.09,0,0,20.43,4.09,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,1.07,7.49,2.14,1.07,0,0,5.35,0,0,1.07,0,0,0,0
21Day,1.34,4.02,0,20.08,0,1.34,0,0,0,0,0,0,5.35,0,0,8.03,5.35,1.34,0,1.34,1.34,0,1.34,1.34,1.34,0,0,1.34
3Month,0,1.28,0,5.76,0.32,0,0,2.24,2.88,0,2.56,5.44,0.32,2.56,0.32,0.96,4.16,0.32,0,0.32,0.64,0,0.32,0,0.32,0.64,0.32,2.56
22Month,0,1.64,1.09,2.73,0,0,1.64,1.64,10.39,0,6.56,3.83,1.64,2.19,0,0,8.75,1.09,0.55,0.55,0,0,0,0,0.55,0,0,2.19
