stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,32.69,0,12.26,0,0
72hpf,4.28,0,1.07,40.65,0,1.07,2.14,0,0,2.14,1.07,1.07,0
21Day,0,0,2.68,2.68,0,0,0,1.34,0,0,0,0,0
3Month,3.84,0.64,0,0,0.32,0,0,0,0,0,0.32,0,0.32
