stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,32.69,0,4.09,0,0,0,0,4.09,0,0,0,0,8.17,16.35,24.52,0,89.9,3367.2,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,25.67,4.28,16.05,2.14,23.54,0,0,1.07,0,0,0,0,0,3.21,36.37,5.35,25.67,0,2704.43,673.97,2.14,6.42,35.3,2.14,0,60.98,10.7,6.42,1.07,0,0
21Day,4.02,1.34,22.76,0,22.76,4.02,0,0,0,0,2.68,2.68,4.02,0,10.71,2.68,13.39,1.34,627.77,204.8,0,4.02,10.71,17.4,0,17.4,48.19,70.94,1.34,0,4.02
3Month,0,0,0.64,0,0,0,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,26.24,1.6,0.64,0,0,0,1.28,0,0.32,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0,0,0.55,0,4.37,0.55,0,0,0,0,0.55,0,19.68,2.19,1.64,3.28,0,0,2.73,2.19,24.05,0,0,0,0
