stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,0,0,0,2.14,1.07,2.14
22Month,0.55,1.09,0.55,0,0,0
