stage,Enterocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0
3Month,0,0,0.32,0.32,0.96,0,0.32,1.6,0.32
22Month,0,0.55,0,0,0,0.55,0,0,0
